symbol,period,strategy,kill_switch_activations,n,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,mean_period_return,period_volatility,win_rate_periods,profit_factor_periods,expectancy_period,var_95_loss,cvar_95_loss,gross_positive_returns,gross_negative_returns,turnover_sum,trade_events,avg_abs_position,exposure_fraction,fee_bps,slippage_bps,total_explicit_cost,total_funding_drag,funding_available,gross_strategy_return_sum,net_strategy_return_sum
BTC/USDT,validation,S1,0,2196,0.14291832966096063,0.1425012564215804,2.1999530922222887,2.568547497107437,-0.0302911669949798,4.704383176957076,6.169304908651626e-05,0.0013123354837959573,0.30828779599271405,1.1934915136079445,6.169304908651626e-05,0.0018716185253884424,0.0030997394938985573,0.8356530146271477,0.7001750788331581,23.155351532900916,1341,0.10260859830961648,0.5892531876138434,10.0,2.0,0.027786421839481094,0.0,False,0.16326435763347075,0.1354779357939897
BTC/USDT,validation,IRCP,0,2196,0.10490211727091547,0.10460100682274054,2.134654002354583,1.9203721586492806,-0.031589294072035035,3.311280289588376,4.593407422599158e-05,0.0010070001454573784,0.18032786885245902,1.2536423571783002,4.593407422599158e-05,0.0011977659402485218,0.002379524179194515,0.4985620075246408,0.3976907805243633,21.032038667405644,798,0.060137542404365966,0.3410746812386157,10.0,2.0,0.025238446400886773,0.0,False,0.1261096734011643,0.10087122700027751
BTC/USDT,validation,S4,0,2196,0.10053440206014086,0.10024638876028802,2.0273772735566156,1.8257452128266876,-0.03547836722126618,2.8255637621395118,4.414241451824138e-05,0.0010189281677458588,0.1826047358834244,1.236807354072257,4.414241451824138e-05,0.001222560993580344,0.002431171133763347,0.5062852722794825,0.40934852999742444,22.196062001678875,813,0.06109347858891697,0.3465391621129326,10.0,2.0,0.026635274402014648,0.0,False,0.12357201668407272,0.09693674228205806
BTC/USDT,validation,C2,0,2196,0.0787687627806486,0.07854530879013066,1.8612776163416944,1.2623189267214376,-0.04060696294958843,1.9342817853095993,3.4911896546842935e-05,0.0008777772987285843,0.09836065573770492,1.3081668111733236,3.4911896546842935e-05,0.000696663786849459,0.0019424139115966352,0.32544907386867655,0.24878254905180947,8.963066038036654,440,0.03426790343359148,0.19262295081967212,10.0,2.0,0.010755679245643983,0.0,False,0.08742220406251108,0.07666652481686709
BTC/USDT,validation,B0,0,2196,1.2141449675387048,1.2093415808621963,1.7879746015095659,2.415563670420751,-0.30006091405991453,4.030320258974888,0.00042343030073085155,0.011082625172085771,0.52367941712204,1.1200813683143738,0.00042343030073085155,0.01724984707464608,0.026028203751271656,8.673376798082774,7.743523857677824,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,0.93105294040495,0.92985294040495
BTC/USDT,validation,S5,0,2196,0.09886814332254512,0.09858511407802961,1.747605097374791,1.7455086537331002,-0.03744562723206568,2.632753711589816,4.361525612564585e-05,0.0011679309889244692,0.23178506375227687,1.1729165207808072,4.361525612564585e-05,0.0016265191233375805,0.002886100459314269,0.6496828128633143,0.553903710411396,14.85055568714348,1015,0.07989328520089509,0.44990892531876137,10.0,2.0,0.017820666824572177,0.0,False,0.11359976927649046,0.09577910245191829
BTC/USDT,validation,S2,0,2196,0.08980387775232512,0.08954784039389074,1.5875661474347835,1.6788410028007248,-0.048515273553189076,1.8457659585432649,3.985114481762085e-05,0.0011747109846453135,0.24408014571949,1.1520421312467612,3.985114481762085e-05,0.0016214930171516112,0.0027983858984918695,0.6630977450811537,0.5755846310616584,28.83808405556373,1112,0.08274840017089281,0.4763205828779599,10.0,2.0,0.03460570086667648,0.0,False,0.12211881488617188,0.08751311401949538
BTC/USDT,validation,S3,0,2196,0.0853785243391505,0.08513559044777086,1.587303338031915,1.5872266971769953,-0.04562813155551049,1.8658574775124466,3.793362152855727e-05,0.0011183723845604946,0.21448087431693988,1.1633176858023437,3.793362152855727e-05,0.0014136282346283438,0.0026841773434452256,0.5933647681585847,0.510062535281873,30.618103385914324,989,0.07312322106960273,0.4166666666666667,10.0,2.0,0.03674172406309719,0.0,False,0.12004395693980896,0.08330223287671176
BTC/USDT,validation,S6,1,2196,0.020288519729513288,0.02023252958873889,0.5770598428959375,0.3169534093332587,-0.051485013865407936,0.3929790063110548,9.439185835553372e-06,0.0007654833356336863,0.07422586520947176,1.099310250571574,9.439185835553372e-06,0.00044986483201507296,0.0017743002870917192,0.22945264698486828,0.20872419488999305,7.087381223594484,342,0.02559275919743777,0.1489071038251366,10.0,2.0,0.00850485746831338,0.0,False,0.029233309563188585,0.020728452094875206
BTC/USDT,validation,C1,0,2196,-0.016497330008377276,-0.016452628187874407,-0.674163001951961,-0.2996443419019117,-0.026018510265297445,-0.6323432056684019,-7.441692147622378e-06,0.0005165695977319149,0.048724954462659384,0.8745066236205558,-7.441692147622378e-06,0.00021592321988850633,0.0011161550480088232,0.11387970535897249,0.13022166131515128,24.552210568043296,264,0.015607174364086637,0.08970856102003642,10.0,2.0,0.02946265268165195,0.0,False,0.013120696725473217,-0.016341955956178742
BTC/USDT,final_test,S6,0,2190,0.03529878155392141,0.03529878155392141,0.8311193561438466,0.6267269871480554,-0.03418334660953404,1.0326309462068957,1.6259017995749613e-05,0.0009154886667535823,0.12191780821917808,1.108105699912784,1.6259017995749613e-05,0.0011108235037420625,0.002233388282775547,0.36498164353994067,0.329374394129249,11.40229457773513,508,0.058403661577174526,0.23881278538812786,10.0,2.0,0.013682753493282154,0.0,False,0.04929000290397382,0.035607249410691655
BTC/USDT,final_test,S1,0,2190,0.002832253973095389,0.002832253973095389,0.07630377092600414,0.0779400600696236,-0.04030467155080519,0.07027110913247989,2.207308546740324e-06,0.001353751968130922,0.26438356164383564,1.0066080483497006,2.207308546740324e-06,0.001864855483835555,0.003425239163600226,0.736367048689158,0.7315330429717968,31.217934066050276,1183,0.1184566640800798,0.5319634703196348,10.0,2.0,0.037461520879260336,0.0,False,0.04229552659662164,0.00483400571736131
BTC/USDT,final_test,B0,0,2190,-0.06821767404102463,-0.06821767404102463,0.06071532451427233,0.0787596159502397,-0.3436795714563654,-0.198492083052675,1.2241896960269515e-05,0.009435663763381855,0.5036529680365297,1.0039379248790714,1.2241896960269515e-05,0.014808310305284103,0.023533876592020896,6.834901621578322,6.808091867235332,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,0.028009754342990245,0.02680975434299024
BTC/USDT,final_test,C2,0,2190,-0.03214297042251646,-0.03214297042251646,-0.8226052161940146,-0.42859825398058105,-0.04022294824830297,-0.7991201993472119,-1.4574318348935707e-05,0.0008291227848213641,0.07397260273972603,0.8765735255322504,-1.4574318348935707e-05,0.0006920837470381372,0.0021075515634546133,0.22667957634421462,0.2585973335283838,13.263386779483382,333,0.03874397853495797,0.15114155251141553,10.0,2.0,0.015916064135380055,0.0,False,-0.01600169304878914,-0.0319177571841692
BTC/USDT,final_test,S5,1,2190,-0.03233510982807941,-0.03233510982807941,-1.3053558834462056,-0.4689007311379463,-0.05049284544884136,-0.6403899312990964,-1.4866678779776384e-05,0.0005329753019715172,0.04246575342465753,0.7414400895946197,-1.4866678779776384e-05,0.0,6.004798707887363e-05,0.09336260237668773,0.125920628904398,4.712044722488835,201,0.01564802122835907,0.08721461187214612,10.0,2.0,0.005654453666986601,0.0,False,-0.026903572860723684,-0.03255802652771028
BTC/USDT,final_test,S2,1,2190,-0.03129351976192196,-0.03129351976192196,-1.3852769239970286,-0.45642927142393885,-0.051994242202428875,-0.6018650996025114,-1.439914830132998e-05,0.0004864321399748749,0.03515981735159817,0.7117786045881699,-1.439914830132998e-05,0.0,5.17791844747844e-05,0.07787528201530677,0.10940941679521944,5.746651800003233,171,0.01320465255405342,0.07077625570776255,10.0,2.0,0.00689598216000388,0.0,False,-0.02463815261990877,-0.031534134779912654
BTC/USDT,final_test,S3,1,2190,-0.031162426324107484,-0.031162426324107484,-1.3986421961381212,-0.3916406391218012,-0.050660726568980685,-0.6151200038885365,-1.4340527734390167e-05,0.00047982245082493834,0.026027397260273973,0.6722204013776792,-1.4340527734390167e-05,-0.0,4.491966141253658e-05,0.06440788205462605,0.09581363779294053,5.179921052476285,129,0.010019527673735817,0.052054794520547946,10.0,2.0,0.006215905262971542,0.0,False,-0.02518985047534292,-0.031405755738314466
BTC/USDT,final_test,C1,0,2190,-0.03782502123368359,-0.03782502123368359,-1.6308177384932545,-0.6452406304981652,-0.04244516124248765,-0.8911503720669272,-1.7480818940685504e-05,0.0005016241136420822,0.036073059360730596,0.7068750350220301,-1.7480818940685504e-05,0.00023559491648473838,0.0011608299775774998,0.0923199849560017,0.13060297843610294,26.16390516296176,203,0.017604752348143585,0.07214611872146119,10.0,2.0,0.03139668619555411,0.0,False,-0.006886307284547139,-0.03828299348010125
BTC/USDT,final_test,S4,1,2190,-0.03874251222844516,-0.03874251222844516,-1.6996616508759113,-0.44419734808619243,-0.053469604263224335,-0.7245707680520787,-1.79203547354007e-05,0.0004934079969964725,0.0273972602739726,0.602369105958789,-1.79203547354007e-05,0.0,4.633732875502363e-05,0.059452933377672816,0.09869851024820034,5.8936251565420905,132,0.010705766450091995,0.05342465753424658,10.0,2.0,0.0070723501878505075,0.0,False,-0.03217322668267701,-0.03924557687052753
BTC/USDT,final_test,IRCP,1,2190,-0.040407886163670415,-0.040407886163670415,-1.7916725310057138,-0.4538318789439655,-0.05510946358292945,-0.7332295314917027,-1.8714376449556505e-05,0.0004888085382725613,0.024657534246575342,0.5734369182185909,-1.8714376449556505e-05,0.0,4.498160653749513e-05,0.055096227139560874,0.09608071156408961,5.885635092091395,122,0.009933612081614458,0.04885844748858448,10.0,2.0,0.007062762110509673,0.0,False,-0.03392172231401906,-0.04098448442452875
ETH/USDT,development,S1,1,8765,0.28609433773575854,0.06488478731529224,1.3752461181780038,1.169551933411317,-0.05148961142531083,1.2601529807505347,2.9199862512447138e-05,0.0009936248312406853,0.1683970336565887,1.1594599746484255,2.9199862512447138e-05,0.0013516815738502759,0.002482385149938549,1.8609589673249518,1.6050221724033524,29.082751561127093,2902,0.03233534576050555,0.31899600684540785,10.0,2.0,0.03489930187335251,0.0,False,0.29083609679495176,0.25593679492159915
ETH/USDT,development,S3,1,8765,0.22939729723235147,0.052956117839209504,1.3184147400144874,0.9979805019164102,-0.054466314589740716,0.9722728302455097,2.3922718254406823e-05,0.0008491424119774759,0.10895607529948659,1.1899394917915098,2.3922718254406823e-05,0.0009031041679150614,0.0019936985380448673,1.3136269580983704,1.1039443325984948,41.52568388910821,2067,0.022077563182286607,0.21585852823730747,10.0,2.0,0.04983082066692985,0.0,False,0.25951344616680566,0.2096826254998758
ETH/USDT,development,S2,1,8765,0.24799787513906568,0.056914217841602666,1.3073658960651027,1.0848478258439587,-0.054272347419955236,1.0486780201564683,2.5698578730803626e-05,0.0009198860033173871,0.14033086138049058,1.1638627492849332,2.5698578730803626e-05,0.001136542224058087,0.0022142674885455003,1.5998621239236643,1.3746140813481704,39.77298690739365,2589,0.028244023129418473,0.2764403879064461,10.0,2.0,0.047727584288872374,0.0,False,0.27297562686436616,0.22524804257549377
ETH/USDT,development,B0,0,8765,16.44161023352552,1.0427705037698525,1.2708571181897703,1.6144762832795956,-0.8111880898051137,1.2854854710950896,0.0004901043965507121,0.01804737032820471,0.515345122646891,1.0877861947504,0.0004901043965507121,0.027091066024273986,0.04365369355465285,53.230168081496636,48.934403045729645,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,4.296965035766992,4.295765035766991
