symbol,strategy,kill_switch_activations,n,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,mean_period_return,period_volatility,win_rate_periods,profit_factor_periods,expectancy_period,var_95_loss,cvar_95_loss,gross_positive_returns,gross_negative_returns,turnover_sum,trade_events,avg_abs_position,exposure_fraction,fee_bps,slippage_bps,total_explicit_cost,total_funding_drag,funding_available,gross_strategy_return_sum,net_strategy_return_sum
ETH/USDT,S1,1,13151,0.28609433773575854,0.042790111857793134,1.1225940110258479,0.7794937796631582,-0.05148961142531083,0.8310435964323228,1.9461394184594266e-05,0.0008112847000038342,0.11223481104098548,1.1594599746484255,1.9461394184594266e-05,0.0008798599941242044,0.0020209143058166255,1.8609589673249518,1.6050221724033524,29.082751561127097,2902,0.021551160032760332,0.2126074062808912,10.0,2.0,0.034899301873352516,0.0,False,0.29083609679495176,0.2559367949215992
ETH/USDT,S3,1,13151,0.22939729723235147,0.03499012306254601,1.0762159012938366,0.6651432666183054,-0.054466314589740716,0.6424176727598301,1.5944234316772547e-05,0.0006933081748335275,0.0726180518591742,1.1899394917915098,1.5944234316772547e-05,0.0004604507078210811,0.001550311189752922,1.3136269580983704,1.1039443325984948,41.52568388910821,2067,0.01471445831440515,0.14386738651053152,10.0,2.0,0.049830820666929856,0.0,False,0.2595134461668056,0.20968262549987576
ETH/USDT,S2,1,13151,0.24799787513906568,0.037581520196967366,1.06719913786113,0.7230394033550526,-0.054272347419955236,0.6924616675627546,1.7127826216675063e-05,0.0007510672748860678,0.09352900920082123,1.1638627492849332,1.7127826216675063e-05,0.0007323111539708478,0.0017835285013634112,1.5998621239236643,1.3746140813481704,39.77298690739365,2589,0.018824337520291456,0.18424454414112995,10.0,2.0,0.047727584288872374,0.0,False,0.27297562686436616,0.22524804257549375
ETH/USDT,B0,0,13151,21.790841174000178,0.683077491291578,1.0550417090793316,1.3435452817953368,-0.8111880898051137,0.8420704148352154,0.00038250513680818923,0.016966399943536197,0.5125845943274275,1.0720907402819482,0.00038250513680818923,0.025584356872139613,0.04112260126034872,74.80801126588602,69.77768621172153,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,5.031525054164495,5.030325054164496
ETH/USDT,S4,1,13151,0.17526377371817947,0.02725780017533519,0.948823495369181,0.5067151357044997,-0.052235134947269946,0.521828845715652,1.2468811300602969e-05,0.0006149809733097662,0.056421564900007604,1.1934895058664274,1.2468811300602969e-05,0.00015871102089222785,0.0012607844070948182,1.0114513990174925,0.8474740616032629,31.13073840036379,1583,0.011222566502830362,0.11040985476389628,10.0,2.0,0.037356886080436545,0.0,False,0.20133422349466618,0.16397733741422965
ETH/USDT,IRCP,1,13151,0.16925212077855867,0.026380898255487617,0.922073015641392,0.4894174961955654,-0.052235134947269946,0.5050412578070004,1.2077620587392496e-05,0.0006129684578075419,0.0559653258307353,1.1882140531280088,1.2077620587392496e-05,0.00015563277003538805,0.0012569512158194266,1.0027272037993809,0.8438944154545822,30.397127044299527,1570,0.011135011969373249,0.10964945631510911,10.0,2.0,0.03647655245315943,0.0,False,0.19530934079795817,0.15883278834479872
ETH/USDT,S5,1,13151,0.17911767965125436,0.02781799338485902,0.8397116423347504,0.5120376658494258,-0.05027812859803604,0.5532821956691849,1.2782374912404623e-05,0.000712366411902002,0.0813626340202266,1.1384480034708004,1.2782374912404623e-05,0.0005460580395948054,0.0016913607173968605,1.382282569872571,1.2141815573995378,18.31456870932224,2144,0.01610090996724357,0.15846703672724508,10.0,2.0,0.021977482451186692,0.0,False,0.19007849492421988,0.1681010124730332
ETH/USDT,S6,1,13151,0.09889526475019195,0.01582837735289222,0.7183915207930494,0.26628329695169767,-0.050619790532017594,0.31269148265006336,7.283371766267971e-06,0.0004744531539866043,0.02950345981294198,1.2109080587100611,7.283371766267971e-06,0.0,3.5583225472962324e-05,0.5499323288096083,0.4541487067114182,9.358996689869183,797,0.0072693839460956375,0.0587027602463691,10.0,2.0,0.011230796027843019,0.0,False,0.1070144181260331,0.09578362209819008
ETH/USDT,C2,1,13151,0.010969043731563488,0.0018183503880675467,0.09026127474805046,0.03313580926073766,-0.05068000698557473,0.035879047699916684,9.5118061869446e-07,0.0004931551663509233,0.03573872709299673,1.0208474280271655,9.5118061869446e-07,-0.0,4.7316845607470926e-05,0.6125338954647896,0.6000249191483388,14.809132829120227,980,0.007834426985218414,0.0707170557372063,10.0,2.0,0.01777095939494427,0.0,False,0.030279935711395124,0.012508976316450843
ETH/USDT,C1,1,13151,-0.04196532298603095,-0.007113817019106183,-0.36189352722935364,-0.1118376618572349,-0.05118931050337172,-0.13897075286133445,-3.1755502122997357e-06,0.0004106390308051463,0.02585354725876359,0.908778339962818,-3.1755502122997357e-06,-0.0,3.573524464442664e-05,0.41604255829779585,0.45780421913974967,51.10761921884026,834,0.005574202273532011,0.04782906242871265,10.0,2.0,0.06132914306260831,0.0,False,0.019567482220654478,-0.041761660841953825
